Company Name,Symbol,Industry
J.K. Cement Ltd.,JKCEMENT,Construction Materials
JK Lakshmi Cement Ltd.,JKLAKSHMI,Construction Materials
JK Paper Ltd.,JKPAPER,Forest Materials
JM Financial Ltd.,JMFINANCIL,Financial Services
Jindal Stainless Ltd.,JSL,Metals & Mining
JSW Energy Ltd.,JSWENERGY,Power
JSW Steel Ltd.,JSWSTEEL,Metals & Mining
Jubilant Foodworks Ltd.,JUBLFOOD,Consumer Services
Jubilant Ingrevia Ltd.,JUBLINGREA,Chemicals
Jubilant Pharmova Ltd.,JUBLPHARMA,Healthcare
Justdial Ltd.,JUSTDIAL,Consumer Services
Jyothy Labs Ltd.,JYOTHYLAB,Fast Moving Consumer Goods
Kajaria Ceramics Ltd.,KAJARIACER,Consumer Durables
Kalpataru Power Transmission Ltd.,KALPATPOWR,Construction
Kalyan Jewellers India Ltd.,KALYANKJIL,Consumer Durables
Kansai Nerolac Paints Ltd.,KANSAINER,Consumer Durables
Karur Vysya Bank Ltd.,KARURVYSYA,Financial Services
Kec International Ltd.,KEC,Capital Goods
KEI Industries Ltd.,KEI,Capital Goods
Krishna Institute of Medical Sciences Ltd.,KIMS,Healthcare
KNR Constructions Ltd.,KNRCON,Construction
Kotak Mahindra Bank Ltd.,KOTAKBANK,Financial Services
KPIT Technologies Ltd.,KPITTECH,Information Technology
K.P.R. Mill Ltd.,KPRMILL,Textiles
KRBL Ltd.,KRBL,Fast Moving Consumer Goods
L&T Finance Holdings Ltd.,L&TFH,Financial Services
Dr. Lal Path Labs Ltd.,LALPATHLAB,Healthcare
Latent View Analytics Ltd.,LATENTVIEW,Information Technology
Laurus Labs Ltd.,LAURUSLABS,Healthcare
Lakshmi Machine Works Ltd.,LAXMIMACH,Capital Goods
LIC Housing Finance Ltd.,LICHSGFIN,Financial Services
Linde India Ltd.,LINDEINDIA,Chemicals
Macrotech Developers Ltd.,LODHA,Realty
Larsen & Toubro Ltd.,LT,Construction
Larsen & Toubro Infotech Ltd.,LTI,Information Technology
L&T Technology Services Ltd.,LTTS,Information Technology
Lupin Ltd.,LUPIN,Healthcare
Lux Industries Ltd.,LUXIND,Textiles
Laxmi Organic Industries Ltd.,LXCHEM,Chemicals
Mahindra & Mahindra Ltd.,M&M,Automobile and Auto Components
Mahindra & Mahindra Financial Services Ltd.,M&MFIN,Financial Services
Bank of Maharashtra,MAHABANK,Financial Services
Mahindra CIE Automotive Ltd.,MAHINDCIE,Automobile and Auto Components
Mahindra Logistics Ltd.,MAHLOG,Services
Manappuram Finance Ltd.,MANAPPURAM,Financial Services
C.E. Info Systems Ltd.,MAPMYINDIA,Information Technology
Marico Ltd.,MARICO,Fast Moving Consumer Goods
Maruti Suzuki India Ltd.,MARUTI,Automobile and Auto Components
Mastek Ltd.,MASTEK,Information Technology
Max Healthcare Institute Ltd.,MAXHEALTH,Healthcare
Mazagoan Dock Shipbuilders Ltd.,MAZDOCK,Capital Goods
United Spirits Ltd.,MCDOWELL-N,Fast Moving Consumer Goods
Multi Commodity Exchange of India Ltd.,MCX,Financial Services
Medplus Health Services Ltd.,MEDPLUS,Consumer Services
Metro Brands Ltd.,METROBRAND,Consumer Durables
Metropolis Healthcare Ltd.,METROPOLIS,Healthcare
Max Financial Services Ltd.,MFSL,Financial Services
Mahanagar Gas Ltd.,MGL,Oil Gas & Consumable Fuels
Mahindra Holidays & Resorts India Ltd.,MHRIL,Consumer Services
Minda Industries Ltd.,MINDAIND,Automobile and Auto Components
MindTree Ltd.,MINDTREE,Information Technology
MMTC Ltd.,MMTC,Services
MOIL Ltd.,MOIL,Metals & Mining
Motilal Oswal Financial Services Ltd.,MOTILALOFS,Financial Services
MphasiS Ltd.,MPHASIS,Information Technology
MRF Ltd.,MRF,Automobile and Auto Components
Mangalore Refinery & Petrochemicals Ltd.,MRPL,Oil Gas & Consumable Fuels
MTAR Technologies Ltd.,MTARTECH,Capital Goods
Muthoot Finance Ltd.,MUTHOOTFIN,Financial Services
Nippon Life India Asset Management Ltd.,NAM-INDIA,Financial Services
NATCO Pharma Ltd.,NATCOPHARM,Healthcare
National Aluminium Co. Ltd.,NATIONALUM,Metals & Mining
Info Edge (India) Ltd.,NAUKRI,Consumer Services
Navin Fluorine International Ltd.,NAVINFLUOR,Chemicals
Nazara Technologies Ltd.,NAZARA,Media Entertainment & Publication
NBCC (India) Ltd.,NBCC,Construction
NCC Ltd.,NCC,Construction
NESCO Ltd.,NESCO,Services
Nestle India Ltd.,NESTLEIND,Fast Moving Consumer Goods
Network18 Media & Investments Ltd.,NETWORK18,Media Entertainment & Publication
Narayana Hrudayalaya Ltd.,NH,Healthcare
NHPC Ltd.,NHPC,Power
The New India Assurance Company Ltd.,NIACL,Financial Services
NLC India Ltd.,NLCINDIA,Power
NMDC Ltd.,NMDC,Metals & Mining
NOCIL Ltd.,NOCIL,Chemicals
NTPC Ltd.,NTPC,Power
Nuvoco Vistas Corporation Ltd.,NUVOCO,Construction Materials
FSN E-Commerce Ventures Ltd.,NYKAA,Consumer Services
Oberoi Realty Ltd.,OBEROIRLTY,Realty
Oracle Financial Services Software Ltd.,OFSS,Information Technology
Oil India Ltd.,OIL,Oil Gas & Consumable Fuels
Oil & Natural Gas Corporation Ltd.,ONGC,Oil Gas & Consumable Fuels
Orient Electric Ltd.,ORIENTELEC,Consumer Durables
Page Industries Ltd.,PAGEIND,Textiles
One 97 Communications Ltd.,PAYTM,Financial Services
PCBL Ltd.,PCBL,Chemicals
Piramal Enterprises Ltd.,PEL,Financial Services
Persistent Systems Ltd.,PERSISTENT,Information Technology
Petronet LNG Ltd.,PETRONET,Oil Gas & Consumable Fuels
Power Finance Corporation Ltd.,PFC,Financial Services
Pfizer Ltd.,PFIZER,Healthcare
Procter & Gamble Hygiene & Health Care Ltd.,PGHH,Fast Moving Consumer Goods
Procter & Gamble Health Ltd.,PGHL,Healthcare
Phoenix Mills Ltd.,PHOENIXLTD,Realty
Pidilite Industries Ltd.,PIDILITIND,Chemicals
PI Industries Ltd.,PIIND,Chemicals
Punjab National Bank,PNB,Financial Services
PNB Housing Finance Ltd.,PNBHOUSING,Financial Services
PNC Infratech Ltd.,PNCINFRA,Construction
PB Fintech Ltd.,POLICYBZR,Financial Services
Polycab India Ltd.,POLYCAB,Capital Goods
Poly Medicure Ltd.,POLYMED,Healthcare
Polyplex Corporation Ltd.,POLYPLEX,Capital Goods
Poonawalla Fincorp Ltd.,POONAWALLA,Financial Services
Power Grid Corporation of India Ltd.,POWERGRID,Power
Hitachi Energy India Ltd.,POWERINDIA,Capital Goods
Praj Industries Ltd.,PRAJIND,Capital Goods
Prestige Estates Projects Ltd.,PRESTIGE,Realty
Prince Pipes and Fittings Ltd.,PRINCEPIPE,Capital Goods
Privi Speciality Chemicals Ltd.,PRIVISCL,Chemicals
Prism Johnson Ltd.,PRSMJOHNSN,Construction Materials
PVR Ltd.,PVR,Media Entertainment & Publication
Quess Corp Ltd.,QUESS,Services
Radico Khaitan Ltd,RADICO,Fast Moving Consumer Goods
Railtel Corporation Of India Ltd.,RAILTEL,Telecommunication
Rain Industries Ltd,RAIN,Chemicals
Rajesh Exports Ltd.,RAJESHEXPO,Consumer Durables
Rallis India Ltd.,RALLIS,Chemicals
The Ramco Cements Ltd.,RAMCOCEM,Construction Materials
Ratnamani Metals & Tubes Ltd.,RATNAMANI,Capital Goods
Restaurant Brands Asia Ltd.,RBA,Consumer Services
RBL Bank Ltd.,RBLBANK,Financial Services
Rashtriya Chemicals & Fertilizers Ltd.,RCF,Chemicals
REC Ltd.,RECLTD,Financial Services
Redington (India) Ltd.,REDINGTON,Services
Relaxo Footwears Ltd.,RELAXO,Consumer Durables
Reliance Industries Ltd.,RELIANCE,Oil Gas & Consumable Fuels
Shree Renuka Sugars Ltd.,RENUKA,Fast Moving Consumer Goods
RHI MAGNESITA INDIA LTD.,RHIM,Capital Goods
RITES Ltd.,RITES,Construction
Rossari Biotech Ltd.,ROSSARI,Chemicals
Route Mobile Ltd.,ROUTE,Telecommunication
RattanIndia Enterprises Ltd.,RTNINDIA,Services
Rail Vikas Nigam Ltd.,RVNL,Construction
Steel Authority of India Ltd.,SAIL,Metals & Mining
Sanofi India Ltd.,SANOFI,Healthcare
Sapphire Foods India Ltd.,SAPPHIRE,Consumer Services
Saregama India Ltd,SAREGAMA,Media Entertainment & Publication
SBI Cards and Payment Services Ltd.,SBICARD,Financial Services
SBI Life Insurance Company Ltd.,SBILIFE,Financial Services
State Bank of India,SBIN,Financial Services
Schaeffler India Ltd.,SCHAEFFLER,Automobile and Auto Components
Shipping Corporation of India Ltd.,SCI,Services
Sequent Scientific Ltd.,SEQUENT,Healthcare
Sheela Foam Ltd.,SFL,Consumer Durables
Shilpa Medicare Ltd.,SHILPAMED,Healthcare
Shree Cement Ltd.,SHREECEM,Construction Materials
Shriram City Union Finance Ltd.,SHRIRAMCIT,Financial Services
Shyam Metalics and Energy Ltd.,SHYAMMETL,Metals & Mining
Siemens Ltd.,SIEMENS,Capital Goods
SIS Ltd.,SIS,Services
SJVN Ltd.,SJVN,Power
SKF India Ltd.,SKFINDIA,Capital Goods
Sobha Ltd.,SOBHA,Realty
Solara Active Pharma Sciences Ltd.,SOLARA,Healthcare
Solar Industries India Ltd.,SOLARINDS,Chemicals
Sona BLW Precision Forgings Ltd.,SONACOMS,Automobile and Auto Components
Sonata Software Ltd.,SONATSOFTW,Information Technology
Sun Pharma Advanced Research Company Ltd.,SPARC,Healthcare
Spicejet Ltd.,SPICEJET,Services
SRF Ltd.,SRF,Chemicals
Shriram Transport Finance Co. Ltd.,SRTRANSFIN,Financial Services
Strides Pharma Science Ltd.,STAR,Healthcare
Star Health and Allied Insurance Company Ltd.,STARHEALTH,Financial Services
Sterlite Technologies Ltd.,STLTECH,Telecommunication
Sudarshan Chemical Industries Ltd.,SUDARSCHEM,Chemicals
Sumitomo Chemical India Ltd.,SUMICHEM,Chemicals
Sundaram Finance Ltd.,SUNDARMFIN,Financial Services
Sundram Fasteners Ltd.,SUNDRMFAST,Automobile and Auto Components
Sun Pharmaceutical Industries Ltd.,SUNPHARMA,Healthcare
Sunteck Realty Ltd.,SUNTECK,Realty
Sun TV Network Ltd.,SUNTV,Media Entertainment & Publication
Suprajit Engineering Ltd.,SUPRAJIT,Automobile and Auto Components
Supreme Industries Ltd.,SUPREMEIND,Capital Goods
Suven Pharmaceuticals Ltd.,SUVENPHAR,Healthcare
Suzlon Energy Ltd.,SUZLON,Capital Goods
Sterling and Wilson Renewable Energy Ltd.,SWSOLAR,Construction
Symphony Ltd.,SYMPHONY,Consumer Durables
Syngene International Ltd.,SYNGENE,Healthcare
Tanla Platforms Ltd.,TANLA,Information Technology
Tata Chemicals Ltd.,TATACHEM,Chemicals
Tata Coffee Ltd.,TATACOFFEE,Fast Moving Consumer Goods
Tata Communications Ltd.,TATACOMM,Telecommunication
Tata Consumer Products Ltd.,TATACONSUM,Fast Moving Consumer Goods
Tata Elxsi Ltd.,TATAELXSI,Information Technology
Tata Investment Corporation Ltd.,TATAINVEST,Financial Services
Tata Motors Ltd.,TATAMOTORS,Automobile and Auto Components
Tata Motors Ltd DVR,TATAMTRDVR,Automobile and Auto Components
Tata Power Co. Ltd.,TATAPOWER,Power
Tata Steel Ltd.,TATASTEEL,Metals & Mining
Tata Steel Long Products Ltd.,TATASTLLP,Capital Goods
TCI Express Ltd.,TCIEXP,Services
TCNS Clothing Co. Ltd.,TCNSBRANDS,Textiles
Tata Consultancy Services Ltd.,TCS,Information Technology
Teamlease Services Ltd.,TEAMLEASE,Services
Tech Mahindra Ltd.,TECHM,Information Technology
Thermax Ltd.,THERMAX,Capital Goods
Thyrocare Technologies Ltd.,THYROCARE,Healthcare
Tube Investments of India Ltd.,TIINDIA,Automobile and Auto Components
Timken India Ltd.,TIMKEN,Capital Goods
Titan Company Ltd.,TITAN,Consumer Durables
Torrent Pharmaceuticals Ltd.,TORNTPHARM,Healthcare
Torrent Power Ltd.,TORNTPOWER,Power
Trent Ltd.,TRENT,Consumer Services
Trident Ltd.,TRIDENT,Textiles
Triveni Turbine Ltd.,TRITURBINE,Capital Goods
Triveni Engineering & Industries Ltd.,TRIVENI,Fast Moving Consumer Goods
TTK Prestige Ltd.,TTKPRESTIG,Consumer Durables
Tata Teleservices (Maharashtra) Ltd.,TTML,Telecommunication
TV18 Broadcast Ltd.,TV18BRDCST,Media Entertainment & Publication
TVS Motor Company Ltd.,TVSMOTOR,Automobile and Auto Components
United Breweries Ltd.,UBL,Fast Moving Consumer Goods
UCO Bank,UCOBANK,Financial Services
UFLEX Ltd.,UFLEX,Capital Goods
UltraTech Cement Ltd.,ULTRACEMCO,Construction Materials
Union Bank of India,UNIONBANK,Financial Services
UPL Ltd.,UPL,Chemicals
UTI Asset Management Company Ltd.,UTIAMC,Financial Services
Vaibhav Global Ltd.,VAIBHAVGBL,Consumer Services
Vakrangee Ltd.,VAKRANGEE,Information Technology
Varroc Engineering Ltd.,VARROC,Automobile and Auto Components
Varun Beverages Ltd.,VBL,Fast Moving Consumer Goods
Vedanta Ltd.,VEDL,Metals & Mining
Venky's (India) Ltd.,VENKEYS,Fast Moving Consumer Goods
V-Guard Industries Ltd.,VGUARD,Consumer Durables
Vijaya Diagnostic Centre Ltd.,VIJAYA,Healthcare
Vinati Organics Ltd.,VINATIORGA,Chemicals
V.I.P. Industries Ltd.,VIPIND,Consumer Durables
V-Mart Retail Ltd.,VMART,Consumer Services
Voltas Ltd.,VOLTAS,Consumer Durables
Vardhman Textiles Ltd.,VTL,Textiles
Welspun Corp Ltd.,WELCORP,Capital Goods
Welspun India Ltd.,WELSPUNIND,Textiles
Westlife Development Ltd.,WESTLIFE,Consumer Services
Whirlpool of India Ltd.,WHIRLPOOL,Consumer Durables
Wipro Ltd.,WIPRO,Information Technology
Wockhardt Ltd.,WOCKPHARMA,Healthcare
Yes Bank Ltd.,YESBANK,Financial Services
Zee Entertainment Enterprises Ltd.,ZEEL,Media Entertainment & Publication
Zensar Technolgies Ltd.,ZENSARTECH,Information Technology
ZF Commercial Vehicle Control Systems India Ltd.,ZFCVINDIA,Automobile and Auto Components
Zomato Ltd.,ETERNAL,Consumer Services
Zydus Lifesciences Ltd.,ZYDUSLIFE,Healthcare
Zydus Wellness Ltd.,ZYDUSWELL,Fast Moving Consumer Goods
